type,complexity,question,answer
temporal_single,single-hop,How many movies did Gustav Botz act in 1920?,"Gustav Botz appeared in 10 movie(s) in 1920:
1. Monika Vogelsang
2. The Head of Janus
3. Mord... die Tragödie des Hauses Garrick
4. Der Kampf der Geschlechter
5. Der König von Paris, 1. Teil - Die Geschichte des André Lifou
6. Der König von Paris, 2. Teil - Die Geschichte des André Lifou
7. Sizilianische Blutrache
8. Das Luxusweibchen
9. Ede & Co.
10. Versiegelte Lippen"
temporal_single,single-hop,How many movies did Ernest C. Warde direct in 1923?,"Ernest C. Warde directed 1 movie(s) in 1923:
1. Ruth of the Range"
temporal_single,single-hop,How many movies did Claire Adams act in 1920?,"Claire Adams appeared in 7 movie(s) in 1920:
1. The Key to Power
2. The Dwelling Place of Light
3. The Great Lover
4. The Money Changers
5. The Penalty
6. Riders of the Dawn
7. The White Dove"
temporal_single,single-hop,How many movies did Claude Mérelle act in 1923?,"Claude Mérelle appeared in 8 movie(s) in 1923:
1. Milady
2. The Little Thing
3. Notre Dame d'amour
4. L'espionne
5. La bouquetière des innocents
6. La bouquetière des innocents
7. Le bossu
8. Les mystères du ciel"
temporal_single,single-hop,How many movies did Emil Jannings act in 1937?,"Emil Jannings appeared in 1 movie(s) in 1937:
1. Der Herrscher"
temporal_single,single-hop,How many movies did Max Gülstorff act in 1942?,"Max Gülstorff appeared in 4 movie(s) in 1942:
1. Andreas Schlüter
2. Dr. Crippen
3. Die heimlichen Bräute
4. Der Seniorchef"
temporal_single,single-hop,How many movies did Claire McDowell act in 1937?,"Claire McDowell appeared in 1 movie(s) in 1937:
1. Two-Fisted Sheriff"
temporal_single,single-hop,How many movies did Vola Vale act in 1923?,"Vola Vale appeared in 5 movie(s) in 1923:
1. Crashin' Thru
2. The Midnight Flower
3. Mothers-in-Law
4. Soul of the Beast
5. The Man Between"
temporal_single,single-hop,How many movies did Tôgô Yamamoto act in 1920?,"Tôgô Yamamoto appeared in 4 movie(s) in 1920:
1. The River's End
2. Something to Think About
3. The Willow Tree
4. Pagan Love"
temporal_single,single-hop,How many movies did Hedwig Pauly-Winterstein act in 1925?,"Hedwig Pauly-Winterstein appeared in 2 movie(s) in 1925:
1. Der Bastard
2. Gräfin Mariza"
temporal_single,single-hop,How many movies did Louis Natheaux act in 1924?,"Louis Natheaux appeared in 1 movie(s) in 1924:
1. The Fast Set"
temporal_single,single-hop,How many movies did Alfredo Bertone act in 1926?,"Alfredo Bertone appeared in 1 movie(s) in 1926:
1. Les frères Zemganno"
temporal_single,single-hop,How many movies did Julius Sachs act in 1922?,"Julius Sachs appeared in 1 movie(s) in 1922:
1. Liebes-List und -Lust"
temporal_single,single-hop,How many movies did Fred Paul direct in 1929?,"Fred Paul directed 2 movie(s) in 1929:
1. The Broken Melody
2. The Broken Melody"
temporal_single,single-hop,How many movies did A.E. Coleby act in 1923?,"A.E. Coleby appeared in 6 movie(s) in 1923:
1. The Prodigal Son
2. The Prodigal Son
3. The Rest Cure
4. The Rest Cure
5. The Mystery of Dr. Fu Manchu
6. The Mystery of Dr. Fu Manchu"
temporal_single,single-hop,How many movies did Victor Dillingham act in 1926?,"Victor Dillingham appeared in 2 movie(s) in 1926:
1. The Blue Streak
2. The Night Patrol"
temporal_single,single-hop,How many movies did Marion Weldon act in 1936?,"Marion Weldon appeared in 1 movie(s) in 1936:
1. Dodge City Trail"
temporal_single,single-hop,How many movies did Boris Karloff act in 1936?,"Boris Karloff appeared in 5 movie(s) in 1936:
1. Charlie Chan at the Opera
2. The Invisible Ray
3. Juggernaut
4. The Man Who Lived Again
5. The Walking Dead"
temporal_single,single-hop,How many movies did Pauline Starke act in 1928?,"Pauline Starke appeared in 1 movie(s) in 1928:
1. The Viking"
temporal_single,single-hop,How many movies did Phillips Smalley act in 1933?,"Phillips Smalley appeared in 3 movie(s) in 1933:
1. The Big Race
2. Hello, Sister!
3. The Big Race"
temporal_single,single-hop,How many movies did Lillian Leighton act in 1924?,"Lillian Leighton appeared in 3 movie(s) in 1924:
1. $50,000 Reward
2. Code of the Sea
3. Phantom Justice"
temporal_single,single-hop,How many movies did Rudolf Klein-Rhoden act in 1926?,"Rudolf Klein-Rhoden appeared in 1 movie(s) in 1926:
1. Staatsanwalt Jordan"
temporal_single,single-hop,How many movies did Coit Albertson act in 1920?,"Coit Albertson appeared in 2 movie(s) in 1920:
1. The $1,000,000 Reward
2. Wits vs. Wits"
temporal_single,single-hop,How many movies did Donald Grayson act in 1937?,"Donald Grayson appeared in 2 movie(s) in 1937:
1. The Old Wyoming Trail
2. Outlaws of the Prairie"
temporal_single,single-hop,How many movies did Rune Carlsten direct in 1937?,"Rune Carlsten directed 1 movie(s) in 1937:
1. Konflikt"
temporal_single,single-hop,How many movies did Ernst Hofmann act in 1921?,"Ernst Hofmann appeared in 13 movie(s) in 1921:
1. Entgleist
2. Mann über Bord
3. Die Diktatur der Liebe, 2. Teil - Die Welt ohne Liebe
4. Die Erbin von Tordis
5. Fasching
6. Aus den Tiefen der Großstadt
7. Miss Beryll... die Laune eines Millionärs
8. Um den Sohn
9. Memoiren eines Kammerdieners, 1. Teil - Martin, der Findling
10. Aus den Memoiren einer Filmschauspielerin
... and 3 more"
temporal_single,single-hop,How many movies did Etta Lee act in 1934?,"Etta Lee appeared in 1 movie(s) in 1934:
1. The Mysterious Mr. Wong"
temporal_single,single-hop,How many movies did Estelle Taylor act in 1926?,"Estelle Taylor appeared in 1 movie(s) in 1926:
1. Don Juan"
temporal_single,single-hop,How many movies did Léonce Perret direct in 1926?,"Léonce Perret directed 1 movie(s) in 1926:
1. The Model from Montmartre"
temporal_single,single-hop,How many movies did Marie Burke act in 1924?,"Marie Burke appeared in 2 movie(s) in 1924:
1. Who's Cheating?
2. Three Miles Out"
temporal_single,single-hop,How many movies did Albert Ward direct in 1922?,"Albert Ward directed 1 movie(s) in 1922:
1. Stable Companions"
temporal_single,single-hop,How many movies did Lotte Neumann act in 1940?,"Lotte Neumann appeared in 2 movie(s) in 1940:
1. The Brigands
2. Kora Terry"
temporal_single,single-hop,How many movies did Tom Terriss direct in 1935?,"Tom Terriss directed 1 movie(s) in 1935:
1. Circumstantial Evidence"
temporal_single,single-hop,How many movies did Andrée Lionel act in 1922?,"Andrée Lionel appeared in 2 movie(s) in 1922:
1. Mysteries of Paris
2. L'Écran brisé"
temporal_single,single-hop,How many movies did Rollin S. Sturgeon direct in 1924?,"Rollin S. Sturgeon directed 1 movie(s) in 1924:
1. Daughters of Today"
temporal_single,single-hop,How many movies did Alexander Korda direct in 1922?,"Alexander Korda directed 5 movie(s) in 1922:
1. Herren der Meere
2. Samson und Delila
3. Samson und Delila
4. Die Tragödie eines verschollenen Fürstensohnes
5. Serpolette"
temporal_single,single-hop,How many movies did Erich von Stroheim direct in 1922?,"Erich von Stroheim directed 3 movie(s) in 1922:
1. Foolish Wives
2. Foolish Wives
3. Foolish Wives"
temporal_single,single-hop,How many movies did Friedrich Feher act in 1922?,"Friedrich Feher appeared in 9 movie(s) in 1922:
1. Carrière - Aus dem Leben einer Tänzerin
2. Haus ohne Tür und ohne Fenster
3. Haus ohne Tür und ohne Fenster
4. Haus ohne Tür und ohne Fenster
5. Die Geburt des Antichrist
6. Die Geburt des Antichrist
7. Die Memoiren eines Mönchs
8. Die Memoiren eines Mönchs
9. Die Memoiren eines Mönchs"
temporal_single,single-hop,How many movies did Erle C. Kenton direct in 1932?,"Erle C. Kenton directed 3 movie(s) in 1932:
1. Guilty as Hell
2. Stranger in Town
3. Island of Lost Souls"
temporal_single,single-hop,How many movies did James Crane act in 1932?,"James Crane appeared in 3 movie(s) in 1932:
1. Lady and Gent
2. The Mummy
3. Two Kinds of Women"
temporal_single,single-hop,How many movies did Luise Fleck direct in 1933?,"Luise Fleck directed 1 movie(s) in 1933:
1. Mein Liebster ist ein Jägersmann"
temporal_single,single-hop,How many movies did Kenneth S. Webb direct in 1920?,"Kenneth S. Webb directed 8 movie(s) in 1920:
1. The Devil's Garden
2. The Devil's Garden
3. The Fear Market
4. The Master Mind
5. The Master Mind
6. Sinners
7. The Truth About Husbands
8. The Stolen Kiss"
temporal_single,single-hop,How many movies did Wilhelm Klitsch act in 1920?,"Wilhelm Klitsch appeared in 5 movie(s) in 1920:
1. Anita
2. Großstadtgift
3. Der Herr des Lebens
4. Die Stimme des Gewissens
5. Durch Wahrheit zum Narren"
temporal_single,single-hop,How many movies did Robert Z. Leonard direct in 1928?,"Robert Z. Leonard directed 5 movie(s) in 1928:
1. Baby Mine
2. Baby Mine
3. The Cardboard Lover
4. The Five O'Clock Girl
5. A Lady of Chance"
temporal_single,single-hop,How many movies did Hans von Zedlitz act in 1935?,"Hans von Zedlitz appeared in 2 movie(s) in 1935:
1. Artisten
2. A Night of Change"
temporal_single,single-hop,How many movies did Antonietta Zanone act in 1920?,"Antonietta Zanone appeared in 3 movie(s) in 1920:
1. The Mysterious Princess
2. Maddalena Ferat
3. La moglie che si gettò dalla finestra"
temporal_single,single-hop,How many movies did Joseph Harrington act in 1923?,"Joseph Harrington appeared in 1 movie(s) in 1923:
1. Itching Palms"
temporal_single,single-hop,How many movies did Ludwig Hartau act in 1922?,"Ludwig Hartau appeared in 7 movie(s) in 1922:
1. Der politische Teppich
2. Marie Antoinette - Das Leben einer Königin
3. Zwei Welten
4. Kinder der Zeit
5. Die fünf Frankfurter
6. Das Spiel ist aus
7. Die Tochter Napoleons"
temporal_single,single-hop,How many movies did Eulalie Jensen act in 1929?,"Eulalie Jensen appeared in 1 movie(s) in 1929:
1. Strong Boy"
temporal_single,single-hop,How many movies did J. Frank Glendon act in 1925?,"J. Frank Glendon appeared in 3 movie(s) in 1925:
1. Private Affairs
2. Shackled Lightning
3. Tricks"
temporal_single,single-hop,How many movies did Márton Garas direct in 1923?,"Márton Garas directed 1 movie(s) in 1923:
1. Christoph Columbus"
temporal_single,single-hop,How many movies did Joe May direct in 1937?,"Joe May directed 1 movie(s) in 1937:
1. Confession"
temporal_single,single-hop,How many movies did F. Richard Jones direct in 1929?,"F. Richard Jones directed 1 movie(s) in 1929:
1. Bulldog Drummond"
temporal_single,single-hop,How many movies did Henry King direct in 1952?,"Henry King directed 3 movie(s) in 1952:
1. O. Henry's Full House
2. The Snows of Kilimanjaro
3. Wait Till the Sun Shines, Nellie"
temporal_single,single-hop,How many movies did Rita Jolivet act in 1926?,"Rita Jolivet appeared in 1 movie(s) in 1926:
1. Le marchand de bonheur"
temporal_single,single-hop,How many movies did George L. Sargent direct in 1920?,"George L. Sargent directed 3 movie(s) in 1920:
1. The Broadway Bubble
2. The Prey
3. The Whisper Market"
temporal_single,single-hop,How many movies did Leopoldo Suárez act in 1921?,"Leopoldo Suárez appeared in 2 movie(s) in 1921:
1. Expiación
2. Fair of the Dove"
temporal_single,single-hop,How many movies did Gerald Ames act in 1927?,"Gerald Ames appeared in 2 movie(s) in 1927:
1. The King's Highway
2. The Little People"
temporal_single,single-hop,How many movies did Carmen Bonifant act in 1921?,"Carmen Bonifant appeared in 2 movie(s) in 1921:
1. Alas abiertas
2. La parcela"
temporal_single,single-hop,How many movies did Paul Powell direct in 1925?,"Paul Powell directed 4 movie(s) in 1925:
1. The Awful Truth
2. Let Women Alone
3. Her Market Value
4. North Star"
temporal_single,single-hop,How many movies did Alexander Areuss act in 1921?,"Alexander Areuss appeared in 5 movie(s) in 1921:
1. The Oath of Stephan Huller
2. Taschendiebe
3. Das Gewissen der Welt, 1. Teil - Schattenpflanzen der Großstadt
4. Das begrabene Ich
5. Das Mädchen aus der Ackerstraße - 3. Teil"
temporal_single,single-hop,How many movies did Zoltan Korda direct in 1927?,"Zoltan Korda directed 1 movie(s) in 1927:
1. Die elf Teufel"
temporal_single,single-hop,How many movies did Charles Starrett act in 1943?,"Charles Starrett appeared in 6 movie(s) in 1943:
1. Cowboy in the Clouds
2. Frontier Fury
3. Hail to the Rangers
4. Law of the Northwest
5. Robin Hood of the Range
6. The Fighting Buckaroo"
temporal_single,single-hop,How many movies did Harry L. Franklin direct in 1920?,"Harry L. Franklin directed 4 movie(s) in 1920:
1. Alias Miss Dodd
2. Her Five-Foot Highness
3. Rouge and Riches
4. The Secret Gift"
temporal_single,single-hop,How many movies did Alma Taylor act in 1954?,"Alma Taylor appeared in 1 movie(s) in 1954:
1. Let's Make Up"
temporal_single,single-hop,How many movies did Billy West act in 1996?,"Billy West appeared in 1 movie(s) in 1996:
1. Joe's Apartment"
temporal_single,single-hop,How many movies did Joe Smith Marba act in 1930?,"Joe Smith Marba appeared in 1 movie(s) in 1930:
1. Under Texas Skies"
temporal_single,single-hop,How many movies did J.H. Gilmour act in 1921?,"J.H. Gilmour appeared in 6 movie(s) in 1921:
1. The Kentuckians
2. The Soul of Man
3. Such a Little Queen
4. The Wakefield Case
5. The Magic Cup
6. School Days"
temporal_single,single-hop,How many movies did William Humphrey direct in 1929?,"William Humphrey directed 1 movie(s) in 1929:
1. Devil-May-Care"
temporal_single,single-hop,How many movies did Charles Middleton act in 1934?,"Charles Middleton appeared in 7 movie(s) in 1934:
1. David Harum
2. The Last Round-Up
3. Massacre
4. Murder at the Vanities
5. When Strangers Meet
6. Red Morning
7. The Mystic Hour"
temporal_single,single-hop,How many movies did Lucille Young act in 1925?,"Lucille Young appeared in 1 movie(s) in 1925:
1. Quicker'n Lightnin'"
temporal_single,single-hop,How many movies did Geoffrey Wilmer act in 1956?,"Geoffrey Wilmer appeared in 1 movie(s) in 1956:
1. Escape from the Iron Curtain"
temporal_single,single-hop,How many movies did Ruth King act in 1924?,"Ruth King appeared in 3 movie(s) in 1924:
1. A Cafe in Cairo
2. He Who Gets Slapped
3. The Dixie Handicap"
temporal_single,single-hop,How many movies did Lucy Doraine act in 1923?,"Lucy Doraine appeared in 2 movie(s) in 1923:
1. Opfer der Liebe
2. Die fünfte Straße"
temporal_single,single-hop,How many movies did María Corda act in 1921?,"María Corda appeared in 3 movie(s) in 1921:
1. Il sogno d'una notte d'estate a Venezia
2. Totote di Gyp
3. La vita e la commedia"
temporal_single,single-hop,How many movies did Mildred Arden act in 1922?,"Mildred Arden appeared in 2 movie(s) in 1922:
1. Polly of the Follies
2. Sisters"
temporal_single,single-hop,How many movies did Jacques Feyder direct in 1943?,"Jacques Feyder directed 1 movie(s) in 1943:
1. Matura-Reise"
temporal_single,single-hop,How many movies did Bert Lytell act in 1928?,"Bert Lytell appeared in 1 movie(s) in 1928:
1. On Trial"
temporal_single,single-hop,How many movies did Marcella Daly act in 1927?,"Marcella Daly appeared in 5 movie(s) in 1927:
1. The Arizona Wildcat
2. The Lone Eagle
3. Married Alive
4. Silk Stockings
5. The Midnight Watch"
temporal_single,single-hop,How many movies did Juan de Homs direct in 1920?,"Juan de Homs directed 2 movie(s) in 1920:
1. Cuando la patria lo mande
2. Honor militar"
temporal_single,single-hop,How many movies did Louis Feuillade direct in 1934?,"Louis Feuillade directed 1 movie(s) in 1934:
1. Judex 34"
temporal_single,single-hop,How many movies did George Lessey act in 1920?,"George Lessey appeared in 3 movie(s) in 1920:
1. The $1,000,000 Reward
2. The Harvest Moon
3. Wits vs. Wits"
temporal_single,single-hop,How many movies did Andrée Brabant act in 1920?,"Andrée Brabant appeared in 2 movie(s) in 1920:
1. Travail
2. Flipotte"
temporal_single,single-hop,How many movies did Lionelle Howard act in 1923?,"Lionelle Howard appeared in 2 movie(s) in 1923:
1. One Arabian Night
2. The Fair Maid of Perth"
temporal_single,single-hop,How many movies did Dallas M. Fitzgerald direct in 1925?,"Dallas M. Fitzgerald directed 3 movie(s) in 1925:
1. Passionate Youth
2. Tessie
3. My Lady of Whims"
temporal_single,single-hop,How many movies did Henri Desfontaines act in 1921?,"Henri Desfontaines appeared in 2 movie(s) in 1921:
1. Chichinette et Cie
2. Chichinette et Cie"
temporal_single,single-hop,How many movies did Theo Frenkel direct in 1948?,"Theo Frenkel directed 1 movie(s) in 1948:
1. Vijftig jaren"
temporal_single,single-hop,How many movies did Anton Edthofer act in 1934?,"Anton Edthofer appeared in 2 movie(s) in 1934:
1. Eine Frau, die weiß, was sie will
2. Csibi, der Fratz"
temporal_single,single-hop,How many movies did Jim Farley act in 1920?,"Jim Farley appeared in 5 movie(s) in 1920:
1. Alias Jimmy Valentine
2. The Challenge of the Law
3. The Fourteenth Man
4. The Girl in the Rain
5. That Something"
temporal_single,single-hop,How many movies did Louie Cheung act in 1921?,"Louie Cheung appeared in 2 movie(s) in 1921:
1. A Tale of Two Worlds
2. The Concert"
temporal_single,single-hop,How many movies did Brandon Hurst act in 1935?,"Brandon Hurst appeared in 1 movie(s) in 1935:
1. The Great Impersonation"
temporal_single,single-hop,How many movies did Carl de Vogt act in 1934?,"Carl de Vogt appeared in 3 movie(s) in 1934:
1. I'm for You, You're for Me
2. The Legend of William Tell
3. At the Strassburg"
temporal_single,single-hop,How many movies did Duke Worne direct in 1929?,"Duke Worne directed 6 movie(s) in 1929:
1. Anne Against the World
2. Bride of the Desert
3. The Devil's Chaplain
4. Handcuffed
5. Some Mother's Boy
6. When Dreams Come True"
temporal_single,single-hop,How many movies did Ralph Lewis act in 1927?,"Ralph Lewis appeared in 4 movie(s) in 1927:
1. Casey Jones
2. Held by the Law
3. The Shield of Honor
4. The Sunset Derby"
temporal_single,single-hop,How many movies did Elsa Wagner act in 1936?,"Elsa Wagner appeared in 4 movie(s) in 1936:
1. Abduction
2. The Girl Irene
3. Annemarie. Die Geschichte einer jungen Liebe
4. Hans im Glück"
temporal_single,single-hop,How many movies did Gladys Brockwell act in 1923?,"Gladys Brockwell appeared in 4 movie(s) in 1923:
1. The Darling of New York
2. The Drug Traffic
3. His Last Race
4. Penrod and Sam"
temporal_single,single-hop,How many movies did Hayford Hobbs act in 1925?,"Hayford Hobbs appeared in 2 movie(s) in 1925:
1. That Man Jack!
2. Wasted Lives"
temporal_single,single-hop,How many movies did Hans Adalbert Schlettow act in 1932?,"Hans Adalbert Schlettow appeared in 6 movie(s) in 1932:
1. Chauffeur Antoinette
2. Secret of the Blue Room
3. The Naked Truth
4. Der tolle Bomberg
5. A Soldier's Love Is True Indeed
6. Sacred Waters"
temporal_single,single-hop,How many movies did Leatrice Joy act in 1940?,"Leatrice Joy appeared in 1 movie(s) in 1940:
1. The Old Swimmin' Hole"
temporal_single,single-hop,How many movies did William C. Dowlan direct in 1920?,"William C. Dowlan directed 4 movie(s) in 1920:
1. The Chorus Girl's Romance
2. Dangerous to Men
3. Locked Lips
4. The Peddler of Lies"
temporal_single,single-hop,How many movies did Eva Novak act in 1921?,"Eva Novak appeared in 8 movie(s) in 1921:
1. The Last Trail
2. O'Malley of the Mounted
3. The Rough Diamond
4. The Smart Sex
5. Society Secrets
6. The Torrent
7. Trailin'
8. Wolves of the North"
temporal_single,single-hop,How many movies did Carol Holloway act in 1923?,"Carol Holloway appeared in 4 movie(s) in 1923:
1. Cordelia the Magnificent
2. Gossip
3. The Love Pirate
4. The Ramblin' Kid"
temporal_single,single-hop,How many movies did Gordon Craig act in 1953?,"Gordon Craig appeared in 1 movie(s) in 1953:
1. Take a Powder"
temporal_single,single-hop,How many movies did Alfred Gerasch act in 1929?,"Alfred Gerasch appeared in 3 movie(s) in 1929:
1. Carnival of Crime
2. Hotelgeheimnisse
3. Das Mädel aus der Provinz"
temporal_single,single-hop,How many movies did Rubye De Remer act in 1923?,"Rubye De Remer appeared in 2 movie(s) in 1923:
1. Don't Marry for Money
2. The Glimpses of the Moon"
temporal_single,single-hop,How many movies did Lily Bouwmeester act in 1940?,"Lily Bouwmeester appeared in 1 movie(s) in 1940:
1. Ergens in Nederland"
temporal_single,single-hop,How many movies did William Hackett act in 1922?,"William Hackett appeared in 2 movie(s) in 1922:
1. Perils of the West
2. The Trail of Hate"
temporal_single,single-hop,How many movies did Marc Gérard act in 1920?,"Marc Gérard appeared in 1 movie(s) in 1920:
1. Travail"
temporal_single,single-hop,How many movies did Bartolomeo Pagano act in 1925?,"Bartolomeo Pagano appeared in 1 movie(s) in 1925:
1. Maciste in Hell"
temporal_single,single-hop,How many movies did Charles K. French act in 1932?,"Charles K. French appeared in 1 movie(s) in 1932:
1. The Honor of the Press"
temporal_single,single-hop,How many movies did Roy William Neill direct in 1923?,"Roy William Neill directed 3 movie(s) in 1923:
1. Radio-Mania
2. Toilers of the Sea
3. Toilers of the Sea"
temporal_single,single-hop,How many movies did George Edwardes-Hall write in 1921?,"George Edwardes-Hall wrote 2 movie(s) in 1921:
1. Judge Her Not
2. Judge Her Not"
temporal_single,single-hop,How many movies did Winter Hall act in 1928?,"Winter Hall appeared in 2 movie(s) in 1928:
1. Paradise
2. The Forger"
temporal_single,single-hop,How many movies did Martha Rhema act in 1920?,"Martha Rhema appeared in 9 movie(s) in 1920:
1. Die Legende von der heiligen Simplicia
2. Das große Geheimnis
3. Das Kussverbot
4. Frauenliebe
5. Die Maske des Todes - 1. Der Mann mit dem Silberskelett
6. Die Maske des Todes - 2. Das Geheimnis der Zisterne
7. Die Sippschaft
8. Maita
9. Ein irrendes Menschenkind"
temporal_single,single-hop,How many movies did Jenö Balassa act in 1920?,"Jenö Balassa appeared in 6 movie(s) in 1920:
1. A 111-es
2. Tláni, az elvarázsolt hercegasszony
3. Egy kalandor naplója
4. A tisztesség nevében
5. Az elrabolt szerencse
6. A nap lelke"
